Disciplina,Data,Aula,Início,Fim,Conteúdo,Status
CAMPOS DE EXPERIÊNCIA,05/02/2026,14,16:45,17:45,"Acolhida com a dinâmica de caça ao tesouro, estimulando a identificação do próprio nome, seguida pela roda de conversa e integração entre a professora e as crianças.",Pendente
CAMPOS DE EXPERIÊNCIA,06/02/2026,11,13:15,14:15,"Leitura da história 'Lulu vai à escola' explorando os sentimentos, expectativas e a adaptação escolar, junto à construção do gráfico 'Quantos somos?'.",Pendente
CAMPOS DE EXPERIÊNCIA,06/02/2026,14,16:45,17:45,Plantio coletivo do girassol com foco no cuidado da natureza e tempo de espera. Dinâmica musical das diferenças baseada na música do Mundo Bita.,Pendente
CAMPOS DE EXPERIÊNCIA,09/02/2026,11,13:15,14:15,"Leitura do livro 'O batalhão de letras' (Mário Quintana), associando as letras iniciais aos nomes dos estudantes para incentivar o letramento e a escuta atenta.",Pendente
CAMPOS DE EXPERIÊNCIA,09/02/2026,12,14:15,15:15,"Realização do bingo do nome para reconhecimento das letras acompanhada da confecção de um autorretrato, fortalecendo a autoexpressão e a identidade da criança.",Pendente
CAMPOS DE EXPERIÊNCIA,09/02/2026,13,15:45,16:45,Dinâmica musical da 'lata na roda' para familiarização lúdica do alfabeto e conhecimento das palavras que iniciam com a letra sorteada na brincadeira.,Pendente
CAMPOS DE EXPERIÊNCIA,11/02/2026,11,13:15,14:15,"Atividade artística para a confecção da capa do caderno escolar, aliada à exploração do calendário com as datas comemorativas e aniversariantes do mês.",Pendente
CAMPOS DE EXPERIÊNCIA,11/02/2026,12,14:15,15:15,Bingo dos números do 1 ao 10 para estimular o reconhecimento numérico e o raciocínio prático de quantidades em conjunto com os estudantes da turma.,Pendente
CAMPOS DE EXPERIÊNCIA,11/02/2026,13,15:45,16:45,"Brincadeira lúdica com números envolvendo escuta atenta e exploração de quantidades, seguida por registro prático da movimentação e da atenção no papel.",Pendente
CAMPOS DE EXPERIÊNCIA,12/02/2026,14,16:45,17:45,"Passeio pedagógico pela instituição com reapresentação dos espaços da Vila Marista à turma com um olhar investigativo, desenvolvendo o senso de pertencimento comunitário.",Pendente
CAMPOS DE EXPERIÊNCIA,13/02/2026,11,13:15,14:15,Construção de portfólio registrando as experiências que a turma deseja aprender no ano escolar e também nossa vivência na capela na criação da 'Caixa dos Desejos'.,Pendente
CAMPOS DE EXPERIÊNCIA,13/02/2026,14,16:45,17:45,"Realização do clássico baile de carnaval da nossa turma, garantindo um momento de brincadeira, expressão corporal, ludicidade e alegria no ambiente educativo.",Pendente
